Story,Author,WorkTime,Article,OneOrMulti,Question,A,B,C,D,Answer
mc160.train.12,862086675,1165,"James is going to the baseball field with his friend Tommy.James has to practice because baseball season starts in a week.He wants to be a good player when the season starts.James has been lazy in practicing so he is not very good at baseball right now.He has to make up for it by playing baseball for 5 hours every day for a week.James thinks this is enough practice for him to catch up and be a good player when theseason starts.So James and Tommy practice every day.  They throw the ball around.  They practice battingand they practice fielding.Tommy begins to see that James is getting better every day.  He says ""I do not believe it,James, but I think you are going to be pretty good when the season starts!""Usually a week is not enough time to get pretty good at baseball but James is practicingso much he is fitting a month of practice into one week.Then James has a setback.  His glove rips during practice.  He can't keep playing with abroken glove!So Tommy and James go around town collecting bottles to trade in for five cents for eachbottle.James misses a day of practicing but they find enough bottles to turn in for thirtydollars.This is enough money for James to buy a new glove!So James buys a new glove and he and Tommy go back to the field and practice somemore.By the time the season comes James is one of the best players on his team.",one,What does James need to practice?,music,hockey,football,baseball,baseball
mc160.train.12,862086675,1165,"James is going to the baseball field with his friend Tommy.James has to practice because baseball season starts in a week.He wants to be a good player when the season starts.James has been lazy in practicing so he is not very good at baseball right now.He has to make up for it by playing baseball for 5 hours every day for a week.James thinks this is enough practice for him to catch up and be a good player when theseason starts.So James and Tommy practice every day.  They throw the ball around.  They practice battingand they practice fielding.Tommy begins to see that James is getting better every day.  He says ""I do not believe it,James, but I think you are going to be pretty good when the season starts!""Usually a week is not enough time to get pretty good at baseball but James is practicingso much he is fitting a month of practice into one week.Then James has a setback.  His glove rips during practice.  He can't keep playing with abroken glove!So Tommy and James go around town collecting bottles to trade in for five cents for eachbottle.James misses a day of practicing but they find enough bottles to turn in for thirtydollars.This is enough money for James to buy a new glove!So James buys a new glove and he and Tommy go back to the field and practice somemore.By the time the season comes James is one of the best players on his team.",one,What is James' friend's name?,Harry,Tommy,Arnold,Mikey,Tommy
mc160.train.13,3033165250,9695,"Flying a kite can be dangerous. When I was eight years old I went to the park with my dadto fly my new kite. We stood on the top of a hill and tried to catch the wind. It took usalmost half an hour, but we finally got the kite into the air. As it lifted into the sky,the kite caught the edge of my jacket and I was pulled up into the wind with the kite. Iflew higher and higher into the air until I my dad looked like an ant on the ground. Thepark was beautiful from up high, and I could see our car getting smaller. I flew all theway out of the city and over the lake. Eventually, the wind started to die down and I fellcloser to the water. I called out to some people on a boat and they sailed over so I couldland on their boat. I told them about my adventure and they sailed me back to land, wheremy dad picked me up. He took me out for ice cream and we went home.",one,Who was the main character flying a kite with?,Her father,Her aunt,Her mother,Her brother,Her father
mc160.train.13,3033165250,9695,"Flying a kite can be dangerous. When I was eight years old I went to the park with my dadto fly my new kite. We stood on the top of a hill and tried to catch the wind. It took usalmost half an hour, but we finally got the kite into the air. As it lifted into the sky,the kite caught the edge of my jacket and I was pulled up into the wind with the kite. Iflew higher and higher into the air until I my dad looked like an ant on the ground. Thepark was beautiful from up high, and I could see our car getting smaller. I flew all theway out of the city and over the lake. Eventually, the wind started to die down and I fellcloser to the water. I called out to some people on a boat and they sailed over so I couldland on their boat. I told them about my adventure and they sailed me back to land, wheremy dad picked me up. He took me out for ice cream and we went home.",multiple,How does the main character feel about her kite adventure?,Sad.,Interested by the sights,Very scared.,Bored.,Interested by the sights
mc160.train.13,3033165250,9695,"Flying a kite can be dangerous. When I was eight years old I went to the park with my dadto fly my new kite. We stood on the top of a hill and tried to catch the wind. It took usalmost half an hour, but we finally got the kite into the air. As it lifted into the sky,the kite caught the edge of my jacket and I was pulled up into the wind with the kite. Iflew higher and higher into the air until I my dad looked like an ant on the ground. Thepark was beautiful from up high, and I could see our car getting smaller. I flew all theway out of the city and over the lake. Eventually, the wind started to die down and I fellcloser to the water. I called out to some people on a boat and they sailed over so I couldland on their boat. I told them about my adventure and they sailed me back to land, wheremy dad picked me up. He took me out for ice cream and we went home.",multiple,Why does the main character say it can be dangerous to fly a kite?,Because the kite has sharp edges.,Because the kite string got twisted around her.,Because she got caught on the kite and pulled up into the air.,Because she ran too fast with the kite and fell down.,Because she got caught on the kite and pulled up into the air.
mc160.train.13,3033165250,9695,"Flying a kite can be dangerous. When I was eight years old I went to the park with my dadto fly my new kite. We stood on the top of a hill and tried to catch the wind. It took usalmost half an hour, but we finally got the kite into the air. As it lifted into the sky,the kite caught the edge of my jacket and I was pulled up into the wind with the kite. Iflew higher and higher into the air until I my dad looked like an ant on the ground. Thepark was beautiful from up high, and I could see our car getting smaller. I flew all theway out of the city and over the lake. Eventually, the wind started to die down and I fellcloser to the water. I called out to some people on a boat and they sailed over so I couldland on their boat. I told them about my adventure and they sailed me back to land, wheremy dad picked me up. He took me out for ice cream and we went home.",one,What does the main character say her dad looks like on the ground?,A black dot,A bear,An ant,Nothing,An ant
mc160.train.14,1206423600,2172,"Once upon a time there was a cute brown puppy. He was a very happy puppy. His name wasRudy. Rudy had a best friend. His name was Thomas. Thomas had a nice dad namedRick. Thomas and Rudy had been friends for almost a year. Rudy and Thomas loved to play inthe big back yard. Sometimes, Thomas would ask his friend Jacob to come to the back yardand play with them. Jacob would always bring his puppy too. Jacob's puppy was namedSally. Thomas and  Jacob would run around the back yard and Rudy and Sally chased them andbarked. They all had so much fun playing together. One day, Thomas told Rudy that tomorrowwould be a very special day. It would be Rudy's birthday. Rudy was very excited. The nextday came and Thomas threw a birthday party for Rudy. All of Rudy's friends were there andthey had presents for him. Jacob brought Rudy a new ball and Sally brought him abone. There was one more present for Rudy to open. When he opened the gift from Thomas,Rudy was so exited that he jumped and barked. It was a new red collar with a shiny nametag on it. It was the best gift Rudy had ever been given.",one,What color was the cute puppy?,brown,yellow,black,white,brown
mc160.train.14,1206423600,2172,"Once upon a time there was a cute brown puppy. He was a very happy puppy. His name wasRudy. Rudy had a best friend. His name was Thomas. Thomas had a nice dad namedRick. Thomas and Rudy had been friends for almost a year. Rudy and Thomas loved to play inthe big back yard. Sometimes, Thomas would ask his friend Jacob to come to the back yardand play with them. Jacob would always bring his puppy too. Jacob's puppy was namedSally. Thomas and  Jacob would run around the back yard and Rudy and Sally chased them andbarked. They all had so much fun playing together. One day, Thomas told Rudy that tomorrowwould be a very special day. It would be Rudy's birthday. Rudy was very excited. The nextday came and Thomas threw a birthday party for Rudy. All of Rudy's friends were there andthey had presents for him. Jacob brought Rudy a new ball and Sally brought him abone. There was one more present for Rudy to open. When he opened the gift from Thomas,Rudy was so exited that he jumped and barked. It was a new red collar with a shiny nametag on it. It was the best gift Rudy had ever been given.",multiple,What was the best gift Rudy had ever been given?,a red collar with a name tag,a toy,a bone,a ball,a red collar with a name tag
mc160.train.14,1206423600,2172,"Once upon a time there was a cute brown puppy. He was a very happy puppy. His name wasRudy. Rudy had a best friend. His name was Thomas. Thomas had a nice dad namedRick. Thomas and Rudy had been friends for almost a year. Rudy and Thomas loved to play inthe big back yard. Sometimes, Thomas would ask his friend Jacob to come to the back yardand play with them. Jacob would always bring his puppy too. Jacob's puppy was namedSally. Thomas and  Jacob would run around the back yard and Rudy and Sally chased them andbarked. They all had so much fun playing together. One day, Thomas told Rudy that tomorrowwould be a very special day. It would be Rudy's birthday. Rudy was very excited. The nextday came and Thomas threw a birthday party for Rudy. All of Rudy's friends were there andthey had presents for him. Jacob brought Rudy a new ball and Sally brought him abone. There was one more present for Rudy to open. When he opened the gift from Thomas,Rudy was so exited that he jumped and barked. It was a new red collar with a shiny nametag on it. It was the best gift Rudy had ever been given.",one,Where did Rudy and Thomas love to play?,the back yard,at the park,in the garden,in the house,the back yard
mc160.train.14,1206423600,2172,"Once upon a time there was a cute brown puppy. He was a very happy puppy. His name wasRudy. Rudy had a best friend. His name was Thomas. Thomas had a nice dad namedRick. Thomas and Rudy had been friends for almost a year. Rudy and Thomas loved to play inthe big back yard. Sometimes, Thomas would ask his friend Jacob to come to the back yardand play with them. Jacob would always bring his puppy too. Jacob's puppy was namedSally. Thomas and  Jacob would run around the back yard and Rudy and Sally chased them andbarked. They all had so much fun playing together. One day, Thomas told Rudy that tomorrowwould be a very special day. It would be Rudy's birthday. Rudy was very excited. The nextday came and Thomas threw a birthday party for Rudy. All of Rudy's friends were there andthey had presents for him. Jacob brought Rudy a new ball and Sally brought him abone. There was one more present for Rudy to open. When he opened the gift from Thomas,Rudy was so exited that he jumped and barked. It was a new red collar with a shiny nametag on it. It was the best gift Rudy had ever been given.",multiple,What was the name of Rudy's best friend?,Sally,Jacob,Thomas,Rick,Thomas
mc160.train.15,2479256243,6368,John bought a new puppy. He named the new puppy Spike. Spike was a good dog and mindedJohn. John took Spike to the pond behind his house. Spike loved playing in the water. Johnwould throw the frisbee to Spike. He would also throw a bone to Spike. Spike lovedrunning. Jessica came to the pond to visit John. Jessica and Tom always played withJohn. Jessica was John's best friend. They both loved Spike and Spike loved them. Jessicabrought lunch to the pond. She also brought colas to the pond. They ate and Spike sat bythem being a good dog. When they were done eating they packed their lunch up. They putSpike on his leash and they went home.,multiple,What did Jessica bring to the pond?,Lunch and colas,Spike,Bone,Frisbee,Lunch and colas
mc160.train.15,2479256243,6368,John bought a new puppy. He named the new puppy Spike. Spike was a good dog and mindedJohn. John took Spike to the pond behind his house. Spike loved playing in the water. Johnwould throw the frisbee to Spike. He would also throw a bone to Spike. Spike lovedrunning. Jessica came to the pond to visit John. Jessica and Tom always played withJohn. Jessica was John's best friend. They both loved Spike and Spike loved them. Jessicabrought lunch to the pond. She also brought colas to the pond. They ate and Spike sat bythem being a good dog. When they were done eating they packed their lunch up. They putSpike on his leash and they went home.,one,What is John's puppy's name?,Pond,Jessica,John,Spike,Spike
mc160.train.15,2479256243,6368,John bought a new puppy. He named the new puppy Spike. Spike was a good dog and mindedJohn. John took Spike to the pond behind his house. Spike loved playing in the water. Johnwould throw the frisbee to Spike. He would also throw a bone to Spike. Spike lovedrunning. Jessica came to the pond to visit John. Jessica and Tom always played withJohn. Jessica was John's best friend. They both loved Spike and Spike loved them. Jessicabrought lunch to the pond. She also brought colas to the pond. They ate and Spike sat bythem being a good dog. When they were done eating they packed their lunch up. They putSpike on his leash and they went home.,multiple,What did John throw to Spike?,Leash,Frisbee and Bone,Colas,Lunch,Frisbee and Bone
mc160.train.15,2479256243,6368,John bought a new puppy. He named the new puppy Spike. Spike was a good dog and mindedJohn. John took Spike to the pond behind his house. Spike loved playing in the water. Johnwould throw the frisbee to Spike. He would also throw a bone to Spike. Spike lovedrunning. Jessica came to the pond to visit John. Jessica and Tom always played withJohn. Jessica was John's best friend. They both loved Spike and Spike loved them. Jessicabrought lunch to the pond. She also brought colas to the pond. They ate and Spike sat bythem being a good dog. When they were done eating they packed their lunch up. They putSpike on his leash and they went home.,one,Who was John's best friend?,Spike,Jessica,Tom,Thomas,Jessica
mc160.train.16,259176131,757,"Here begins the story of the life of Tim. Tim's father was Frank. Frank's father wasJim. Jim's father was Greg. And Greg's father was Mark. These 5 men had ruled Markton forthe last 100 years. For the last 20 years, Tim had been the ruler. When Frank died, Timbecame the ruler. In these last 20 years, Tim brought lots of good luck to hispeople. They had never eaten so well. Most of his people ate 3 meals a day. Recently, Timhad been having trouble with a band of troublemakers led by Horace. Tim chose to dowhatever he could to get rid of Horace. So, he got Assassin to get rid of Horace. Onenight Assassin sneaked into Horace's bedroom and did away with him. With the bad man gone,all the people had a giant party and sang a song about the greatness of their ruler.",multiple,Who did the people sing about?,Mark,Horace,Assassin,Tim,Tim
mc160.train.16,259176131,757,"Here begins the story of the life of Tim. Tim's father was Frank. Frank's father wasJim. Jim's father was Greg. And Greg's father was Mark. These 5 men had ruled Markton forthe last 100 years. For the last 20 years, Tim had been the ruler. When Frank died, Timbecame the ruler. In these last 20 years, Tim brought lots of good luck to hispeople. They had never eaten so well. Most of his people ate 3 meals a day. Recently, Timhad been having trouble with a band of troublemakers led by Horace. Tim chose to dowhatever he could to get rid of Horace. So, he got Assassin to get rid of Horace. Onenight Assassin sneaked into Horace's bedroom and did away with him. With the bad man gone,all the people had a giant party and sang a song about the greatness of their ruler.",multiple,Who was Tim's grandfather?,Greg,Jim,Frank,Horace,Jim
mc160.train.16,259176131,757,"Here begins the story of the life of Tim. Tim's father was Frank. Frank's father wasJim. Jim's father was Greg. And Greg's father was Mark. These 5 men had ruled Markton forthe last 100 years. For the last 20 years, Tim had been the ruler. When Frank died, Timbecame the ruler. In these last 20 years, Tim brought lots of good luck to hispeople. They had never eaten so well. Most of his people ate 3 meals a day. Recently, Timhad been having trouble with a band of troublemakers led by Horace. Tim chose to dowhatever he could to get rid of Horace. So, he got Assassin to get rid of Horace. Onenight Assassin sneaked into Horace's bedroom and did away with him. With the bad man gone,all the people had a giant party and sang a song about the greatness of their ruler.",one,How many years has Tim ruled?,20,3,100,5,20
mc160.train.16,259176131,757,"Here begins the story of the life of Tim. Tim's father was Frank. Frank's father wasJim. Jim's father was Greg. And Greg's father was Mark. These 5 men had ruled Markton forthe last 100 years. For the last 20 years, Tim had been the ruler. When Frank died, Timbecame the ruler. In these last 20 years, Tim brought lots of good luck to hispeople. They had never eaten so well. Most of his people ate 3 meals a day. Recently, Timhad been having trouble with a band of troublemakers led by Horace. Tim chose to dowhatever he could to get rid of Horace. So, he got Assassin to get rid of Horace. Onenight Assassin sneaked into Horace's bedroom and did away with him. With the bad man gone,all the people had a giant party and sang a song about the greatness of their ruler.",one,Who was Jim's father,Mark,Tim,Markton,Greg,Greg
mc160.train.17,4008085004,1387,"Today, Anne is hungry. She wants to eat somewhere in town.There is a popular diner in town. She goes there and asks them if she can get fries and achocolate milkshake.Her friends come into the diner and sit with her. Their names are Jane, Jake and Dave. Allof them are 15 years old.Jake gets a big cheeseburger with onions. Jane wants a vanilla ice cream cone withsprinkles. Dave doesn't eat anything. He talks with them instead.After they finish eating, they go back to Jane's house to hang out and play games. Davewins most of the puzzle games. Jane beats them at a few. They're racing games.Dave leaves after an hour. He needs to go do his reading homework. Jake and Anne leavethat evening because it's a school night. They all promise to meet up again the next dayto hang out after school.",multiple,What games did Jane beat the others at?,racing games,cooking games,puzzle games,battle games,racing games
mc160.train.17,4008085004,1387,"Today, Anne is hungry. She wants to eat somewhere in town.There is a popular diner in town. She goes there and asks them if she can get fries and achocolate milkshake.Her friends come into the diner and sit with her. Their names are Jane, Jake and Dave. Allof them are 15 years old.Jake gets a big cheeseburger with onions. Jane wants a vanilla ice cream cone withsprinkles. Dave doesn't eat anything. He talks with them instead.After they finish eating, they go back to Jane's house to hang out and play games. Davewins most of the puzzle games. Jane beats them at a few. They're racing games.Dave leaves after an hour. He needs to go do his reading homework. Jake and Anne leavethat evening because it's a school night. They all promise to meet up again the next dayto hang out after school.",one,What does Jake eat at the diner?,a cheeseburger with onions,an onion ring basket,fish and chips,a cheese sandwich,a cheeseburger with onions
mc160.train.17,4008085004,1387,"Today, Anne is hungry. She wants to eat somewhere in town.There is a popular diner in town. She goes there and asks them if she can get fries and achocolate milkshake.Her friends come into the diner and sit with her. Their names are Jane, Jake and Dave. Allof them are 15 years old.Jake gets a big cheeseburger with onions. Jane wants a vanilla ice cream cone withsprinkles. Dave doesn't eat anything. He talks with them instead.After they finish eating, they go back to Jane's house to hang out and play games. Davewins most of the puzzle games. Jane beats them at a few. They're racing games.Dave leaves after an hour. He needs to go do his reading homework. Jake and Anne leavethat evening because it's a school night. They all promise to meet up again the next dayto hang out after school.",multiple,Why does Dave leave Jane's house after only an hour?,he has to do his reading homework,he has piano practice,the others don't like him,his mother is waiting for him,he has to do his reading homework
mc160.train.17,4008085004,1387,"Today, Anne is hungry. She wants to eat somewhere in town.There is a popular diner in town. She goes there and asks them if she can get fries and achocolate milkshake.Her friends come into the diner and sit with her. Their names are Jane, Jake and Dave. Allof them are 15 years old.Jake gets a big cheeseburger with onions. Jane wants a vanilla ice cream cone withsprinkles. Dave doesn't eat anything. He talks with them instead.After they finish eating, they go back to Jane's house to hang out and play games. Davewins most of the puzzle games. Jane beats them at a few. They're racing games.Dave leaves after an hour. He needs to go do his reading homework. Jake and Anne leavethat evening because it's a school night. They all promise to meet up again the next dayto hang out after school.",one,What did they promise to do the next day?,hang out at Jane's house,hang out during school,hang out at the diner,hang out after school,hang out after school
mc160.train.18,2332408363,368,"The first grade class went on a bus to visit a farm. The farm was a long ways from theirschool. The farm was also far away from any other farms or houses. The farmers who livedthere were the Nixon family. They grew corn. Sometimes when the weather was right, theywould plant wheat, too. The fields were so large that the class could not see where theyended. Mr. Nixon gave all of the children a long ride in the fields on his tractor. TheNixon family also had a lot of farm animals. In the red barn next to their home, they kepta few cows and horses. Everyone fed hay to some of the cows. The farmers got milk fromtheir cows. Some of the class got small bottles of fresh milk to take home with them. Allthe kids got to ride on the big brown horses the Nixons had. They went up into the nearbyhills, where they could look down on the farm below. Around the farmyard there were manygoats and chickens, who wandered around as they wished. The Nixon children liked to playwith their goats, feed them peanut shells and pet them, like the first grade kids did withtheir dogs and cats. The smallest tried to bump the children with their hard heads andtiny horns! When it was almost dark, the school kids got back on the bus to go home. Theywere a little sad to leave the fun life of the farm children. But they brought backstories for all the rest of the school to hear.",one,"What did some of the class get to take home, other than stories?",corn,peanuts,chickens,milk,milk
mc160.train.18,2332408363,368,"The first grade class went on a bus to visit a farm. The farm was a long ways from theirschool. The farm was also far away from any other farms or houses. The farmers who livedthere were the Nixon family. They grew corn. Sometimes when the weather was right, theywould plant wheat, too. The fields were so large that the class could not see where theyended. Mr. Nixon gave all of the children a long ride in the fields on his tractor. TheNixon family also had a lot of farm animals. In the red barn next to their home, they kepta few cows and horses. Everyone fed hay to some of the cows. The farmers got milk fromtheir cows. Some of the class got small bottles of fresh milk to take home with them. Allthe kids got to ride on the big brown horses the Nixons had. They went up into the nearbyhills, where they could look down on the farm below. Around the farmyard there were manygoats and chickens, who wandered around as they wished. The Nixon children liked to playwith their goats, feed them peanut shells and pet them, like the first grade kids did withtheir dogs and cats. The smallest tried to bump the children with their hard heads andtiny horns! When it was almost dark, the school kids got back on the bus to go home. Theywere a little sad to leave the fun life of the farm children. But they brought backstories for all the rest of the school to hear.",multiple,What animals tried to bump the children with their heads?,chickens,goats,cows,sheep,goats
mc160.train.18,2332408363,368,"The first grade class went on a bus to visit a farm. The farm was a long ways from theirschool. The farm was also far away from any other farms or houses. The farmers who livedthere were the Nixon family. They grew corn. Sometimes when the weather was right, theywould plant wheat, too. The fields were so large that the class could not see where theyended. Mr. Nixon gave all of the children a long ride in the fields on his tractor. TheNixon family also had a lot of farm animals. In the red barn next to their home, they kepta few cows and horses. Everyone fed hay to some of the cows. The farmers got milk fromtheir cows. Some of the class got small bottles of fresh milk to take home with them. Allthe kids got to ride on the big brown horses the Nixons had. They went up into the nearbyhills, where they could look down on the farm below. Around the farmyard there were manygoats and chickens, who wandered around as they wished. The Nixon children liked to playwith their goats, feed them peanut shells and pet them, like the first grade kids did withtheir dogs and cats. The smallest tried to bump the children with their hard heads andtiny horns! When it was almost dark, the school kids got back on the bus to go home. Theywere a little sad to leave the fun life of the farm children. But they brought backstories for all the rest of the school to hear.",multiple,What did the Nixon family grow on their farm?,corn and wheat,vegetables,peanuts,apples and oranges,corn and wheat
mc160.train.18,2332408363,368,"The first grade class went on a bus to visit a farm. The farm was a long ways from theirschool. The farm was also far away from any other farms or houses. The farmers who livedthere were the Nixon family. They grew corn. Sometimes when the weather was right, theywould plant wheat, too. The fields were so large that the class could not see where theyended. Mr. Nixon gave all of the children a long ride in the fields on his tractor. TheNixon family also had a lot of farm animals. In the red barn next to their home, they kepta few cows and horses. Everyone fed hay to some of the cows. The farmers got milk fromtheir cows. Some of the class got small bottles of fresh milk to take home with them. Allthe kids got to ride on the big brown horses the Nixons had. They went up into the nearbyhills, where they could look down on the farm below. Around the farmyard there were manygoats and chickens, who wandered around as they wished. The Nixon children liked to playwith their goats, feed them peanut shells and pet them, like the first grade kids did withtheir dogs and cats. The smallest tried to bump the children with their hard heads andtiny horns! When it was almost dark, the school kids got back on the bus to go home. Theywere a little sad to leave the fun life of the farm children. But they brought backstories for all the rest of the school to hear.",one,What animals stayed in the Nixons' barn?,cows and horses,sheep and hogs,goats and chickens,dogs and cats,cows and horses
mc160.train.19,3590859226,953,"I used to be afraid of butterflies!  It is true!  Once, my mom took me to Seattle.  There,we went to a special place.  We went to the zoo!I saw lots of animals at the zoo.  I saw bears.  I saw tigers.  I saw apes.  I sawmonkeys.  I saw snakes.  I loved seeing all these animals.  They made me happy.We even saw one place where there were giant bugs and they didn't even scare me.  Infact, I like bugs.  But there was one place where you walked inside a big room where therewere lots of plants and butterflies flying all over the place.  You could buy sugar waterto feed them and they could land on you.  My mom and brother were so excited to go in, butI was scared.  I wasn't sure that I wanted to be in the room with butterflies flyingeverywhere.  My mom said I would be okay.  My brother said I would be okay.  They saidbutterflies were nice and beautiful.  They said they would not hurt me.  So I went in theroom.Guess what?  I was so scared when one landed on me that I went screaming for the door!The man watching the door to make sure butterflies did not escape or get hurt yelled at meto stop.  He was mad at me for running out and not caring about the butterflies.  I said Iwas sorry, but I was scared.  He checked me for butterflies and then let me get out ofthere!I stayed outside and my mom and my brother enjoyed the butterflies.Since then, they would tease me about being afraid.  They would try and get me to not beafraid.  Last year for my birthday, mom bought me a butterfly book.  She bought one for mybrother, too.  I tried really hard to not be afraid and to go out into the yard and findbutterflies with my brother.  It became really fun to do.  Once, a butterfly landed on meand I laughed.  I liked it.  It tickled me.  It did not hurt me.  Now, I like butterflies!",multiple,Where did the child go when he saw the butterflies?,To the movie,To school,In the car,To the zoo in Seattle,To the zoo in Seattle
mc160.train.19,3590859226,953,"I used to be afraid of butterflies!  It is true!  Once, my mom took me to Seattle.  There,we went to a special place.  We went to the zoo!I saw lots of animals at the zoo.  I saw bears.  I saw tigers.  I saw apes.  I sawmonkeys.  I saw snakes.  I loved seeing all these animals.  They made me happy.We even saw one place where there were giant bugs and they didn't even scare me.  Infact, I like bugs.  But there was one place where you walked inside a big room where therewere lots of plants and butterflies flying all over the place.  You could buy sugar waterto feed them and they could land on you.  My mom and brother were so excited to go in, butI was scared.  I wasn't sure that I wanted to be in the room with butterflies flyingeverywhere.  My mom said I would be okay.  My brother said I would be okay.  They saidbutterflies were nice and beautiful.  They said they would not hurt me.  So I went in theroom.Guess what?  I was so scared when one landed on me that I went screaming for the door!The man watching the door to make sure butterflies did not escape or get hurt yelled at meto stop.  He was mad at me for running out and not caring about the butterflies.  I said Iwas sorry, but I was scared.  He checked me for butterflies and then let me get out ofthere!I stayed outside and my mom and my brother enjoyed the butterflies.Since then, they would tease me about being afraid.  They would try and get me to not beafraid.  Last year for my birthday, mom bought me a butterfly book.  She bought one for mybrother, too.  I tried really hard to not be afraid and to go out into the yard and findbutterflies with my brother.  It became really fun to do.  Once, a butterfly landed on meand I laughed.  I liked it.  It tickled me.  It did not hurt me.  Now, I like butterflies!",multiple,What kind of animals were at the zoo?,"deer, worms and cats","wolves, ants and giraffe","tigers, bears and snakes","penguins, zebras and crocodiles","tigers, bears and snakes"
mc160.train.19,3590859226,953,"I used to be afraid of butterflies!  It is true!  Once, my mom took me to Seattle.  There,we went to a special place.  We went to the zoo!I saw lots of animals at the zoo.  I saw bears.  I saw tigers.  I saw apes.  I sawmonkeys.  I saw snakes.  I loved seeing all these animals.  They made me happy.We even saw one place where there were giant bugs and they didn't even scare me.  Infact, I like bugs.  But there was one place where you walked inside a big room where therewere lots of plants and butterflies flying all over the place.  You could buy sugar waterto feed them and they could land on you.  My mom and brother were so excited to go in, butI was scared.  I wasn't sure that I wanted to be in the room with butterflies flyingeverywhere.  My mom said I would be okay.  My brother said I would be okay.  They saidbutterflies were nice and beautiful.  They said they would not hurt me.  So I went in theroom.Guess what?  I was so scared when one landed on me that I went screaming for the door!The man watching the door to make sure butterflies did not escape or get hurt yelled at meto stop.  He was mad at me for running out and not caring about the butterflies.  I said Iwas sorry, but I was scared.  He checked me for butterflies and then let me get out ofthere!I stayed outside and my mom and my brother enjoyed the butterflies.Since then, they would tease me about being afraid.  They would try and get me to not beafraid.  Last year for my birthday, mom bought me a butterfly book.  She bought one for mybrother, too.  I tried really hard to not be afraid and to go out into the yard and findbutterflies with my brother.  It became really fun to do.  Once, a butterfly landed on meand I laughed.  I liked it.  It tickled me.  It did not hurt me.  Now, I like butterflies!",one,What did mom get the child to learn about butterflies?,a book,an ice cream,a zoo,a movie,a book
mc160.train.19,3590859226,953,"I used to be afraid of butterflies!  It is true!  Once, my mom took me to Seattle.  There,we went to a special place.  We went to the zoo!I saw lots of animals at the zoo.  I saw bears.  I saw tigers.  I saw apes.  I sawmonkeys.  I saw snakes.  I loved seeing all these animals.  They made me happy.We even saw one place where there were giant bugs and they didn't even scare me.  Infact, I like bugs.  But there was one place where you walked inside a big room where therewere lots of plants and butterflies flying all over the place.  You could buy sugar waterto feed them and they could land on you.  My mom and brother were so excited to go in, butI was scared.  I wasn't sure that I wanted to be in the room with butterflies flyingeverywhere.  My mom said I would be okay.  My brother said I would be okay.  They saidbutterflies were nice and beautiful.  They said they would not hurt me.  So I went in theroom.Guess what?  I was so scared when one landed on me that I went screaming for the door!The man watching the door to make sure butterflies did not escape or get hurt yelled at meto stop.  He was mad at me for running out and not caring about the butterflies.  I said Iwas sorry, but I was scared.  He checked me for butterflies and then let me get out ofthere!I stayed outside and my mom and my brother enjoyed the butterflies.Since then, they would tease me about being afraid.  They would try and get me to not beafraid.  Last year for my birthday, mom bought me a butterfly book.  She bought one for mybrother, too.  I tried really hard to not be afraid and to go out into the yard and findbutterflies with my brother.  It became really fun to do.  Once, a butterfly landed on meand I laughed.  I liked it.  It tickled me.  It did not hurt me.  Now, I like butterflies!",one,What is the child afraid of?,tigers,brother,butterflies,bears,butterflies
mc160.train.20,168651406,1860,"There once was a woman named Mary. Mary's best friend was a dog named Buddy. Mary andBuddy went everywhere together. They had a lot in common. They both liked to play gameslike fetch and hide and seek. Neither of them liked to take a bath. Mary and Buddy enjoyedsmelling flowers and eating hamburgers. But they also were very different from oneanother. For one thing, Buddy was a dog! Buddy liked talking to strangers and visiting newplaces. But Mary was shy. One day a man named John came by. Mary hid behind a tree whenshe saw him. Buddy tried to tell her it was okay, but she was too scared to listen. SoBuddy went out to say hello to John. John was very nice and he liked the same games asBuddy. Mary watched Buddy chase after a ball John threw. She could tell John was a niceman. She wanted to play too. Buddy saw her watching and led his new friend over toMary. John waved to Mary and brought her a flower. Mary smiled at him. She thought he wasvery kind and she wasn't as nervous as before. Buddy barked happily. Yay for new friends!",multiple,How did Mary know John was a nice man?,He played with Buddy and brought her a flower.,John was Mary's best friend.,He liked to chase balls.,He was shy.,He played with Buddy and brought her a flower.
mc160.train.20,168651406,1860,"There once was a woman named Mary. Mary's best friend was a dog named Buddy. Mary andBuddy went everywhere together. They had a lot in common. They both liked to play gameslike fetch and hide and seek. Neither of them liked to take a bath. Mary and Buddy enjoyedsmelling flowers and eating hamburgers. But they also were very different from oneanother. For one thing, Buddy was a dog! Buddy liked talking to strangers and visiting newplaces. But Mary was shy. One day a man named John came by. Mary hid behind a tree whenshe saw him. Buddy tried to tell her it was okay, but she was too scared to listen. SoBuddy went out to say hello to John. John was very nice and he liked the same games asBuddy. Mary watched Buddy chase after a ball John threw. She could tell John was a niceman. She wanted to play too. Buddy saw her watching and led his new friend over toMary. John waved to Mary and brought her a flower. Mary smiled at him. She thought he wasvery kind and she wasn't as nervous as before. Buddy barked happily. Yay for new friends!",multiple,"What did Buddy, Mary and John like to do?",Visit new places.,Take baths.,Eat hamburgers.,Play fetch.,Play fetch.
