Number,Conversation,Question,Choice1,Choice2,Choice3,Answer
17-283,"M: Would you like to go dancing with me this evening? W: I'd love to. But I'm just getting over the flu. M: Well, why don't we do something else, like go to a movie? W: Oh, no, thanks. Really, I'm still too weak for anything.",Why does the woman reject the man's invitation?,She doesn't like going to the movies,She has to work hard for two weeks,She is recovering from an illness,She is recovering from an illness
4-943,"M: What do you enjoy about holidays and special occasions? W: I enjoy seeing family and friends, and I enjoy inviting people to my home. What about you? M: I enjoy everything about holidays.",What are the speakers talking about?,How to spend their next holidays.,What they enjoy doing during holidays.,Their family and friends.,What they enjoy doing during holidays.
2-12,"W: Good morning, can I help you? M: Yes, I'd like to know something about the weather in Arizona in the coming week. W: Well, it will be fairly hot and there will be much rain. M: I see. Thanks very much for your help.",What will the weather in Arizona be like in the coming week?,Rainy.,Warm.,A bit cold.,Rainy.
8-2,"W: Good morning! Can I help you? M: Yes, I'd like a quiet room on the second floor for three nights. W: OK, this way, please.",Where is the man?,In a hotel.,In a bedroom.,In a library.,In a hotel.
17-62,"M: Well, let's make our appointment around two o'clock this afternoon. W: Fine. I'll come to your office either at two o'clock or earlier if I can. M: All right. The sooner the better.",What time does the man expect the woman to come?,At sharp 2:00 p.m.,Before 2:00 p.m.,Any time in the afternoon.,Before 2:00 p.m.
4-584,"W: You must have enjoyed using your new camera on your trip. M: I would have, but after buying a new camera especially for that trip, I left it in the car of my friend who drove me to the airport.",What did the man say about his camera?,He enjoyed using it.,He left it at the airport.,He left it in his friend's car.,He left it in his friend's car.
21-325,W: Was the movie as good as you expected? M: It was a waste of time and money. We should have stayed at home.,How does the man feel about the movie?,The movie concerns too much about money.,The movie is not good.,He wants to see the film again.,The movie is not good.
15-84,"M: How are you paying for your college, education? W: My expense for every semester is almost $15,000. At the start of each semester my parents pay the $10,000 in tuition. I also get $2,000 in financial aid. I have to earn the rest myself. M: How do you do that? W: I have a part-time job at a hotel. I work about twenty hours a week, and earn $400. Mter taxes, I make about $320. M: How do you spend the money? W: It helps to pay for my room and board on campus. It also pays for things like my cell phone, book, transportation, and clothes. M: You don't have much money for fun, do you? W: That's time! I stick to my budget carefully so I don't have to borrow. I don't like to owe people money. I hardly ever go to movies. My roommates and I usually rent videos, and split the cost, so it's cheaper. M: How else do you save money? W: I don't go to restaurants. I make meals with my roommates so it's cheaper to eat. I try to walk or ride my bicycle to college. Oh, and I buy a lot of my clothes at second-hand stores. You can find some very cheap, decent clothes in those stores.",How much do the woman's parents pay each semester?,"$15,000.","$10,000.","$2,000.","$10,000."
12-611,M: I like spring because I like flowers. W: I prefer autumn because I can get in crops.,What will we have in the spring?,The fruit.,The flower.,The rice.,The flower.
15-159,"M: Chinese ink painting is an important part of your nation al culture, isn't it, Miss Li? W: Yes, it has a history of over 2 500 years.",When can the history of Chinese ink painting be traced back?,1 500 years ago.,2 000 years ago.,2 500 years ago.,2 500 years ago.
9-92,"W: Why are you so upset, David? M: My boss warned me not to spend all day communicating with my friends, but I didn't. He just didn't believe me. W: You must have forgotten to close your hotmail's window again. You should have known better.",What does the woman think that the man did wrong?,He spent all day emailing.,He left his email page open.,He forgot to close the door.,He left his email page open.
17-174,"W: Karen says her shoulder doesn't hurt today. M: She'd better have it looked at by a doctor, anyway.",What does the man think Karen should do?,Get a better doctor.,Go to see a doctor.,Try not to hurt her shoulder.,Go to see a doctor.
9-87,"M: I've been worried that Richard is frozen. W: What sounds to be a problem? M: Well, he has trouble concentrating when getting along with other children. I was wondering there might be something on his mind. Some problem at home?",What is the possible relationship between the two speakers?,Husband and wife.,Teacher and parent.,Boss and secretary.,Teacher and parent.
12-152,"F: Can you tell me how we are going to the farm tomorrow? M: By bike, of course.",How are they going there?,By bike.,By bus.,On foot.,By bike.
15-152,"M: Excuse me, what is the time by your watch? W: Half past nine. But it's 10 minutes slow. M: Thanks.",What is the correct time now?,9:30.,9:25.,9:40.,9:40.
10-101,"W: I'm interested in buying one of these machines. Erm, which one would you      recommend? M: Oh, this one here, Madam. It has three different programs and can take up three kilos.",What is the woman buying?,A television.,A washing machine.,A cooker.,A washing machine.
21-143,"M: What are you going to do after your return from New York? W: I'm going to stay in the city. M: What will you do all day? W: I'm going to work with my father at the workshop. In the evening, I'll read books. On weekends, I'll go to the park with my family. M: Have you ever worked? W: No,but I can learn. What are you going to do this summer? M: I'm going to camp. I've gone to camp for four summers. W: I've never gone to camp. What do you do there? M: We do many things. In the morning, we go swimming and boating. In the afternoon, we play volleyball or tennis. We sit around a campfire at night. We sing or tell stories. W: That sounds wonderful. M: It is wonderful. What's Wales going to do this summer? W: I think he's going to the mountains with his parents. M: Well, so long, Alice. Have fun. W: You too, Leslie. Give my regards to Wales. I'll see you in October.",What is the possible relationship between them?,Friends.,Colleagues.,Boss and staff.,Friends.
7-242,M: I think its going to rain. It has rained a lot recently. Is it always like that during that month. W: I'm afraid so. Actually it is usually rainy from May to July every year. So we usually stay indoors and have fun at home.,When does it often rain?,In June.,In March.,In August.,In June.
4-797,"M: I think this history course is interesting, but it's very difficult. I'll never get through the reading list. W: Don't worry. You will find time somehow.",Why is the man worried?,He must read a lot of books.,He doesn't like history.,He can't get the books he needs.,He must read a lot of books.
4-153,M: I am running out of coins doing my laundry. W: That's too bad.,What does the woman mean?,She saw the man run out.,She thought the man's laundry was done badly.,She was sorry the man couldn't finish his laundry.,She was sorry the man couldn't finish his laundry.
5-903,"M: I don't enjoy dating anymore. I can't seem to find anyone I have anything in common with. W: Don't feel discouraged. Be patient. As you are so distinguished, you will definitely find the person who is right for you. M: To tell you the truth, I am tired of being alone. I hope to find my Mrs. Right. What should I do? W: Do you believe in Internet matchmaking service? M: That's really a new walk of life. What is it exactly? W: It helps match up singles the world over, and helps find the man and woman of their dreams. M: Oh, it must be to the taste of a certain group of people. W: The advertisement said Dream Dates has matched up thousands of singles the world over! M: Unbelievable! They must be exaggerating the figure! W: Look at the way they manage their business: they collect applicants' photos, and give the applicants questionnaires to fill out as to what type of character they are. M: I don't believe several questions can decide the type of person you're. People's characters are complicated and keep changing all the time. W: Anyway, it seems that things work well this way. The information and specifications will be entered in a large computer database. M: A computer to decide your best date? That's really ridiculous! W: Look, it promises: Dream Dates provides expert dating service and a place for singles to meet. We'll introduce you to the person uniquely qualified to be your partner. M: Sheer slogans! Not reliable! W: It says you can enroll in a free trial membership! M: I won't do it even they pay me for that! W: Well, we don't have to believe this. Maybe I can tell John, and see whether he'd like to try it.",Why is the man so depressed?,Because he can't find an ideal date.,Because he is too common a person.,Because he has failed to realize his dreams.,Because he can't find an ideal date.
14-51,"M: Hi, Nice to see you again! W: Hi! I haven't seen you for quite a long time. What are you doing these days? M: I'm taking a country music course. W: Oh, really? How interesting! What are you learning from the course? M: A lot of things, you know, such as the history of country music, singing, and how to play a guitar. W: That's great. Well, talking about country music reminds me of a famous singer, John Denver. Have you ever heard of him? M: Sure. His song ""Country reads take me home"" is popular both in the USA and in China. W: Yes, that's true. Did you hear the had news about him? M: what was it? W: He had an accident while flying his plane alone, and he was killed. M: That's a big loss for country music.",Which of the following is not mentioned?,The teacher.,A pop star.,Playing the guitar.,The teacher.
20-92,"Man: Are you and Sarah going straight to the restaurant from work tonight? Woman: Actually, I'm leaving work early because I need to do some shopping in the market, and after that we're going to play tennis at the sports centre before we go to the restaurant.",Where will the woman go first after work?,The restaurant.,The market.,The cinema.,The market.
21-105,"M: What are you looking at? W: Well, it is raining so hard outside. I have no umbrella.",What does the woman worry about?,It is going to rain.,Her clothes may get wet.,The bus is not there yet.,Her clothes may get wet.
4-112,"W: Mary wants to play her piece before we go on the stage. M: That's fine with me, but do we have to move her piano after her performance? W: I hope not. Our drum set is heavy enough.",What instrument does Mary play?,The violin.,The drum.,The piano.,The piano.
11-194,"F: Did you remember I invited you? M: Yes, thanks very much. It was a really good supper.",Why did the man thank the woman?,They woman invited the man having a supper.,The woman wants to invite the man having a supper.,The woman remembered him.,They woman invited the man having a supper.
3-215,"M: Hello, Betty. Do you think women are better doctors than men? W: Sorry, I'm not sure of that. But I'm sure that women are better teachers than men.",What is Betty's opinion?,Women are better cooks than men.,Women are better teachers than men.,Women are better workers than men.,Women are better teachers than men.
3-212,W: Does the play start at 6:00 or 6:15? M: Neither. It starts at 6:30 and ends at 8:00.,When does the play start?,At 6:30.,At 8:00.,At 6:00.,At 6:30.
5-222,"W: I'm looking for textbook for my Psychology course. It's called ""Introduction to Educational Psychology"". Do you have it? M: Yes, we do. You'll find it in Section 24 on the top shelf.",What's the man's occupation?,A teacher.,A psychologist.,A librarian.,A librarian.
13-202,"W: If you're going to the airport, what about our dinner? M: I'll meet you for dinner after I've been to the airport.",What are they going to do together?,To go to the airport,To go to a meeting,To have dinner,To have dinner
4-1254,M: I wish I had learned English well when I was in high school. W: You always said you didn't think English was of great importance. M: I realize I was wrong and it's too late. W: It's never too late to learn.,What can we know about the man?,He has realized the significance of English.,He used to learn English well.,It is too late for him to learn English now.,He has realized the significance of English.
5-624,"W: Would you like some fruit juice? M: No, thank you. I'm not used to cold drinks in the morning.",What are the two speakers doing now?,They are having breakfast.,They are eating some fruit.,They are preparing a hot soup.,They are having breakfast.
4-574,M: Don't be late. It's the only fast train. W: Don't worry. I'll be there. M: Let's meet at the ticket office at nine. Or earlier at your flat? W: Er...no. I'll see you at the ticket office.,What time will the two speakers meet?,At nine o'clock,Earlier than nine o'clock,Later than nine o'clock.,At nine o'clock
4-1308,"M: Hi, Cathy, how did you find yesterday's speech competition? W: Well, to be honest, it was quite disappointing. M: You didn't like the speeches? W: Yes, I did. In fact, I enjoyed listening to most of the speeches. But I just couldn't accept the result, you know. M: Hmm, you mean the judges? W: I mean most of the listeners including me didn't understand why the judges didn't like Samantha. It was such a shock when they announced the winner was Jim. We all thought Samantha's pronunciation was the best. M: You're probably right. But don't you think the speech itself is more important? As I see it, Jim's speech was more meaningful. I was deeply moved by the story he told us. W: But, in my opinion, we also learned something very important from Samantha's speech. M: That's right. Samantha and Jim were indeed very close. I guess it was difficult for the judges. W: Well, I wish I could agree with you. But I do think Samantha was the best.",What was the woman disappointed at?,The speeches.,Samantha's pronunciation.,The result of the competition.,The result of the competition.
10-94,F: It's so hot today I can't work. I wish there were a fan in the library. M: So do I. I'll fall asleep if I don't get out of this stuffy room soon.,What are these people complaining about?,The noise.,The heat.,the workload.,the workload.
2-115,"W: Anything else, gentlemen? M: A salad and potatoes with that. W: What kind of potatoes do you want? M: French fried.",Where does the conversation probably take place?,In a meeting room.,In a restaurant.,In a library.,In a restaurant.
12-454,M: How old is the building? W: It was built twelve years ago.,When was the building built?,Seven years ago.,Twenty years ago.,Twelve years ago.,Twelve years ago.
1-36,"Joshua: Dad. Allowance day. Can I have my allowance? Father: Oh. I forgot about that. Joshua: You ALWAYS forget. Father: I guess I do. How much do I owe you? Joshua: Just $13. Father: Thirteen dollars!? Why do I owe you that much? Just seems like I paid you the other day. Joshua: No. You forget every Saturday, and it has been piling up. Father: Well, I'm not sure if I have that much. Joshua: Go to the bank. You have lots of money. Father: Lots of money, uh? Uh, well, I think the bank is closed. Joshua: Then, what about your secret money jar under your bed? Father: Oh, I guess I could do that. So, what are you going to do with the money? Joshua: I'm going to put some in savings, give some to the poor people, and use the rest to buy books. Father: Well, that's sounds great, Joshua.",How much does the father owe his son in allowance?,three dollars,thirteen dollars,thirty dollars,thirteen dollars
5-150,W: There were more than a hundred people at Kate's birthday party. How come she's got so many friends? M: It's really no surprise. You know she was popular even when she was a child.,What does the man imply about Kate?,She expected more people at her party.,She has always enjoyed great popularity.,She threw a surprise party for her friend.,She has always enjoyed great popularity.
20-94,W: I think it's about time to speak to university officials about the quality of the food. M: Do you think you're the first to think of that?,What does the man imply?,He thinks the idea is not original.,"He supports the idea, but thinks it won't do any good.",He doesn't care about the issue.,He thinks the idea is not original.
5-502,"W: Hello, Professor White, I got my grade in the mail this morning, but I think there might be a mistake in my mark. M: Yeah, I've got several calls just like yours. There must be a problem with the computing system. It should be straightened out in a couple of hours.",What does the man mean?,The errors will be corrected soon.,The woman was mistaken herself.,The computing system is too complex.,The errors will be corrected soon.
3-64,"M: Hi! Nice to meet you, Nancy! Where were you yesterday? W: I didn't come because I was sick. M: You still look a little sick. You ought to go back to bed. W: I am going home now. M: Did you drive today? W: Oh, No, I don't have a car. M: I can take you home. Would you like a ride? W: Yes. Thanks a lot. Could you stop at the chemist's on the way? I need to buy some medicine.",Why was Nancy away from school yesterday?,Because she was busy.,Because she was ill.,Because she was at home.,Because she was ill.
5-359,"W: Is the rescue crew still looking for survivors of the plane crash? M: Yes, they have been searching the area for hours, but they haven't found anybody else. They will keep searching until night falls.",What do we learn from the conversation?,All the passengers were killed.,The plane crashed in the night.,No more survivors have been found.,No more survivors have been found.
5-96,"W: Here is this week's schedule, Tony. On Monday, there is the board meeting. Your speech to the lion's club is on Tuesday afternoon. Then on Wednesday you have an appointment with your lawyer and... M: Wait, you mean the business conference on Tuesday is cancelled?",What will the man do this Tuesday?,Attend a conference.,Give a speech.,Meet his lawyer.,Give a speech.
5-55,M: Washing dishes at the restaurant every day is really boring. W: Why don't you quit and deliver flowers for me?,What does the woman advise the man to do?,Quit delivering flowers.,Work at a restaurant.,Leave his job to work for her.,Leave his job to work for her.
14-240,"M: Hi, Kate, you look happy. W: Yes, I just saw a very funny film on TV. M: What was it about? W: It was about a careless man who got into trouble wherever he went. He couldn't do anything well. M: So you liked it? W: Yes, I did. It made me laugh a lot. M: But I'd rather see something not only interesting but also instructive. W: Oh James, don't be so serious. People sometimes need relaxation. M: That's true. But I think that watching TV is not just for entertainment.",what are these two people talking about?,Sports.,Music.,Entertainment.,Entertainment.
5-880,"M: Time to eat! W: Coming. Oh, I'm starving. Oh yuck! What's that? M: Ah, now don't complain! W: But what is it, and where is mom? M: Now, mom put me in charge of dinner because she's not feeling well tonight. W: But what is it... and that smell! M: It's pizza. I just followed an old family recipe here, and... W: Let me see that... Oh, Dad. You're missing a page! M: Oh, uh, well, uh... well I couldn't find the second page of the recipe, but don't worry. I have plenty of experience around the house. Plenty of experience in cooking. W: That's not what mom says. M: Well, wait, wait, here, let me try a piece first. Here, let me cool this off here. Oh, yeah. Oh, this is great stuff. W: Yeah right. Why are you making faces? M: Well, well, it's just, just a little rich for me. That's all. W: Let me try it, dad. Uh, dad. You put a little too much salt in it and besides it's burned. And what's that? M: Oh, well, well, that's just part of my own adaptation to the recipe. I added some pumpkin. W: Oh, not another one of your surprises. Pumpkin doesn't go on pizza! M: Well, okay, well, so what? Uh, what do we do now? W: Well, how about some cold cereal... You can't mess up on that, Dad. M: Oh, I love cereal.",What problem does the girl notice about her father's cooking?,He is not following the complete recipe.,He is missing the right pan to cook the pizza.,He is using the directions for a different food.,He is not following the complete recipe.
5-206,"M: Look, I'm sorry I didn't turn up for the match yesterday, but it wasn't really my fault, you know. W: It's all very well saying it wasn't your fault, but thanks to you we lost 10 to 1.",What do we learn from the conversation?,The woman blames the man for his absence.,The woman thinks that everything was all right.,The woman thanks the man for his efforts.,The woman blames the man for his absence.
20-85,Woman: It's a bit crowded isn't it... worse than a football match! Can you see well enough from here? Man: It doesn't matter---as long as I can hear and get down the important points of what he says it's OK. Woman: I'm going to the library after this. I want to get this report finished so that I can go to the cinema later.,Where are the man and the woman talking?,In the sports center.,In the library.,In the lecture room.,In the lecture room.
5-455,M: Your son certainly shows a lot of enthusiasm on the tennis court. W: I only wish he'd show as much for his studies.,What does the woman imply about her son?,He shows great enthusiasm for his studies.,He is a very versatile person.,He does not study hard enough.,He does not study hard enough.
5-486,"M: I could hardly recognize Sam after he got that new job. He's always in a suit and a tie now. W: Yeah, he was never like that at college. Back then he would've run in an old T-shirt and jeans.",What do the speakers say about Sam?,He dresses more formally now.,What he wears does not match his position.,He has ignored his friends since graduation.,He dresses more formally now.
4-383,"M: So, how long have you been living here? W: About six months now. M: Why did you choose Beirut? W: Because, Mike-my husband-and I have always loved Arab culture and the language. Mike's an English teacher and he got a job here in a language school. M: Why did you want to take a year off? W: Basically I wanted a break from teaching. I love teaching children but I needed a change. Also I've been drawing and painting since I was little but I've never really had the chance to study drawing. So this seemed like the perfect opportunity to have a change and learn to draw properly. M: Well, I found a fantastic art teacher, called Omayma, and I've been having classes with her since October. She's great and she speaks English, which is lucky, because I don't know much Arabic yet. But I'm learning the language as quickly as I can. W: Is Arabic a difficult language to learn? M: Incredibly difficult! Especially the pronunciation. You have to learn to make a lot of new sounds.",Where does Mike work?,In a grocery.,In a language school.,In an art school.,In a language school.
4-879,"W: What's the matter, Bill? You look kind of pale. M: Oh, I'm just tired. W: Why? M: Well, I've been working until around ten every night this week. W: You should go home at quitting time today and take it easy. M: Yes. I think I will. W: That's good. Say, how's your brother? M: He's fine, but he is awfully busy. He went to the States on a business trip two weeks ago. W: Oh, really? Is he back yet? M: No, he won't come back for several more weeks. W: Wow! He must have a lot to do there. M: Yes, he does. W: I want to be sure of the time because I'm going to meet a friend at five o'clock sharp. M: Well, my watch says 4:30, and that time should be right. I set it with the radio yesterday. W: Good.",What time does the man stop his work this week?,At 10 a.m. every day.,At 11 p.m. every day.,About 10 every night.,About 10 every night.
12-535,W: Where did you find your dictionary? M: I found it on the table.,Where did the man find his dictionary?r,Under his bed.,In his desk.,On the table.,On the table.
4-52,"W: Jack, have you got the book I asked you to borrow the other day? M: Sorry, I haven't. W: How come? M: I couldn't find time to go to the library.",Why didn't Jack get the book?,He was too busy to go to the library.,There wasn't such a book in the library.,He didn't want to borrow the book.,He was too busy to go to the library.
12-98,F: Would you play table tennis with me? M: With pleasure.,Which sport does the woman like?,Football.,Basketball.,Table tennis.,Table tennis.
4-185,"W: Now, Jimmy, did you get a good view of the accident? M: Oh, yes. I was standing outside the bank building and I saw it all quite clearly. W: Do you know what time it was? M: Yes. I checked my watch. It was 2:45 exactly. W: Good. Now, how fast was the truck moving? M: Well, quite slowly-about 10 miles an hour. It was coming up York Road. I suppose the truck driver knew the lights were going to change. But they were still red when he went over them. W: I see. What about the car? Was it also driving slowly? M: It was coming along Union Street about 30 miles per hour. It was a blue Ford. The driver stopped his car when he saw the truck crossing the street. W: Did you see what colour his traffic light was? M: Yes, it changed to yellow just before he crossed it.",Who is Jimmy?,A policeman.,A passerby.,Another truck driver.,A passerby.
12-191,"W: Excuse me, when did you arrive here, Mr. Wang? M: I arrived here an hour ago.",How long has Mr. Wang been here?,He arrived here three hours ago.,He's been here for an hour.,He came here half an hour ago.,He's been here for an hour.
12-339,M: It's most possible that Jack will lose his job next month. F: Oh... yes... I've heard that too.,When will Jack lose his job?,Now.,Next month.,Next week.,Next month.
4-1419,"W: Jack, how do you like the play? M: It's a simple story with a happy ending, but, luckily, they had a very strong actor, he managed to carry the whole play.",What does the man like about the play?,The story.,The ending.,The actor.,The actor.
4-391,"W: Hi, are you being helped? M: No, I'm not. I'm interested in some hats. W: All our hats are in this section. What do you think of this one here? It's made of cotton. M: Hmm,it looks nice and is suitable for autumn, but I'd like to have something warm for winter. W: Maybe you would like a heavy wool hat. How about this one? M: I think that's what I want. How much is it? W: It's seventy dollars plus tax. M: It's a little expensive. Do you think it's possible to get a discount? W: Hmm, since you like it so much, how about a 10 percent discount. That's the best I can offer. M: That's good. Could you wrap it up for me? W: Sure. Is there anything else I can get for you? M: I also want to have a red wool sweater. But there are only black and green ones.",For what season does the man want to buy something?,Winter.,Autumn.,Spring.,Winter.
4-315,"M: Please buy two packs of cigarettes for me while you are at the store. W: I'm not going to see Aunt Mary, but I will get them for you at the gas station.",Where will the woman stop on her way?,At a cigarette store.,At a bus station.,At a gas station.,At a gas station.
5-841,"M: Jane, didn't you get my messages? I have sent two to your e-mail. W: Ah? Oh, sorry Tom. I've been meaning to get back in touch with you. It just slipped my mind.",What does the woman mean?,She didn't get the man's massages.,There is something wrong with her e-mail.,She forgot to call the man.,She forgot to call the man.
5-743,"W: Hi, George! Could you give me a ride? I want to buy some food for the picnic. M: Okay. I'm going home but I can drop you at the supermarket.",What does the woman want to do?,Buy something for the picnic.,Go shopping with the man.,Go for a ride around town.,Buy something for the picnic.
21-252,W: Is your brother older than you? M: No. he is 3 years younger. He is 18.,How old is the man?,18 years old.,15 years old.,21 years old.,21 years old.
21-263,"W: Carry,have you fixed the flat tire yet? M: Yes, it's all done. It had a nail in it.",Where does the dialogue most probably take place?,At home.,At a gate.,At a garage.,At a garage.
15-106,"M: Shall we wait for Tom to have supper? W: No, he is out having supper.","What does the woman say ""no""?",Because Tom is on his way home.,Because Tom is having supper outside.,Because Tom has had his supper already.,Because Tom is having supper outside.
15-125,"W: We haven't gone out for over a month. Let's go somewhere this evening. M: Fine, where shall we go? W: Look in the newspaper to see what's on at the cinema or the theater. M: I see new play opened this week. W: I enjoy a concert. M: According to the newspaper there aren't any tonight. W: Aren't there any good films in town? M: How about ""Titanic""? That should be interesting. W: Good. Let's go.",What are they discussing about?,How to spend the weekend.,Where to go this evening.,What to do on Sunday evening.,Where to go this evening.
11-229,"W: Do you know what time the fruit shop opens? M: It usually opens at half past seven, but on Sunday it opens half an hour later.",What time does the fruit shop open on Sunday?,At 7:00.,At 7:30.,At 8:00,At 8:00
4-621,M: What time's the next train to Washington? W: That's 9:00 on Track 16. M: When does it get there? W: It's scheduled to arrive at 11:00.,Where are they most probably talking?,At a station.,In a park.,On a farm.,At a station.
13-145,"W: Hurry up, or we will miss the train. If leaver at 9:20. M: There is no hurry. We still have 15 minutes to get there.",What time is it now?,9:00,9:15,9:05,9:05
10-21,"W: The party will start at 6:30 but there are a lot of preparations to make and I need your help. Can I expect you at 5:00? M: I'll be there around 5:30, all being well that is.",What does the man mean?,He is unenthusiastic about the party.,He will see the woman around five.,He is eager to help the woman.,He is unenthusiastic about the party.
17-30,"M: What shall we do this weekend? W: Let's go for a walk. M: Where to go, then? W: Let's go to the new forest. We haven't been there too long. M: That's a good idea. I'll pick you up at about ten. Is that all right? W: That's wonderful. See you then. Bye!",What does the woman propose to do?,Climb the mountains.,Go out for a walk to the new forest.,Go sightseeing in a car.,Go out for a walk to the new forest.
7-52,M: What do you think of these cookies? My wife made them. W: Very tasty indeed. Even my sister can't make such nice cookies.,What does the woman mean?,The cookies taste delicious.,Her sister can make better cookies.,The cookies are made for her sister.,The cookies taste delicious.
11-239,W: My father often repairs bike for people. M: Really? I have a broken one.,What does the man mean?,He wants to get rid of his broken bike.,He wants the woman to repair his bike.,He wants the woman's father to repair his bike.,He wants the woman's father to repair his bike.
7-45,"W: Hello, the reservation office. May I help you? M: I'd like to have a seat on your flight for Hong Kong on Octorber 8. W: We have two flights on October 8, but both flights are fully booked. Would you like us to put you on our waiting list for both flights? M: Yes, please.",Why does the man telephone the reservation office?,To cancel his flight.,To confirm his flight.,To book a ticket.,To book a ticket.
9-106,"W: I was almost fooled by a telephone call yesterday. M: What's it about? W: A week's vacation for two. But I realized it was a cheat when they told me to ring a special telephone number to claim the price. M: Well,those calls are charged at unbelievably high rates.",What happened to the woman yesterday?,She was almost cheated by a telephone call.,She got a phone call from a special number.,She was overcharged by the phone company.,She was almost cheated by a telephone call.
12-434,W: Let's stop talking. Our teacher is coming. M: But I haven't heard the bell yet.,Where are they talking?,In a classroom.,In a reading room.,In a waiting room.,In a classroom.
4-563,"W: We'd like some information, please. We want to go to England. M: OK. What do you want to know? W: Well, first of all, we want to know the air fare to London. M: When do you want to go? W: We don't really know, maybe July. M: I see. Well, in May and June the fare is 480 dollars, but it's less in March and April. It's only 460 dollars. W: And what about July? M: It's more in July. W: More? How much is it then? M: It's 525 dollars. W: Oh... I'll think it over before I make the final decision.",In which month or months is the fare to London the most expensive?,In March and April.,In May and June.,In July.,In July.
3-34,"W: Calm down, John. I didn't mean to hurt you. M: Calm down? How can I calm down? W: Just relax and forget about what's happened. M: I can't, I tell you I can't! Get out of the room and leave me alone please.",Why was the man angry?,The woman hurt him.,He didn't relax.,The woman left the room.,The woman hurt him.
12-213,"F: How do you usually come to school, by bus? M: No, I usually come to school by bike.",How does the man usually come to school?,By bus.,On foot.,By bike.,By bike.
8-26,"M: Lucy, you are late for class again. W: Sorry. I study for the math test last night and went to bed late. M: Well, I see. Come earlier next time.",Where are they talking?,In the library.,In the classroom.,In the theater.,In the classroom.
14-84,"M: Excuse me, but I don't think eating in the store is permitted. W: Oh? M: Yes. There's a sign here that says so. W: I guess I never noticed the sign. Thanks for telling me.",Where does the conversation take place?,In the street.,In a shop.,In a restaurant.,In a shop.
13-206,"W: Excuse me, I want to withdraw some money. Could you tell me where is the nearest bank? M: Walk along the street and you won't miss it.",Where does the woman want to go?,To the park,To the bank,To the street,To the bank
4-352,"M: Oh, I can't find my glasses. Do you know where they are, darling? W: I put them on the high shelf so that our naughty children couldn't reach them.",What is the relationship between the speakers?,Salesman and customer.,Husband and wife.,Doctor and patient.,Husband and wife.
5-599,"W: You don't feel very well, do you? You look pale. Have you got a cold? M: Oh, no, but my stomachaches. Maybe the seafood doesn't agree with me.",What probable caused the man's stomachache?,The pear.,The weather.,The sea food.,The sea food.
13-1,"M: Which floor do you live on, Linda? F: On the fifth floor.",Which floor does Linda live on?,The fourth floor.,The Fifth floor.,The sixteenth floor.,The Fifth floor.
17-324,W: I just want to look at these jugs. I'm going to buy my mother one for her birthday. M: Those glass noses are nice.,What does the woman want to do?,She wants to buy her mother a birthday present.,She likes to look at these beautiful jugs.,She wants the man to help her with the jugs.,She wants to buy her mother a birthday present.
9-91,"M: How long have you been in this country? W: Two months, exactly. M: Is it hard for you to study at the American College? W: Yes, I find it very difficult, especially when I cannot follow the professor's lectures. M: That's because you just arrived.",What does the woman's problem mainly concern?,Language ability.,Financial support.,Social contacts.,Language ability.
4-1454,"M: Hey, Lucy. Do you have some time to talk about next week's trip with me? W: Sure, Dave. M: OK. So, we're leaving on Monday from Hartsfield International Airport, and returning on Friday. Do we take ourselves to the airport? Maybe we need to book a taxi, or just go by bus. W: No, we don't have to. The company car will pick us up and take us there. M: Oh, that's good. When? W: Our flight leaves at 11:00 a.m., so they should pick us up between 8:00 and 9:00 a.m. Besides, the company pays for our trip, including hotel and food. M: How much will that be? W: Well, New York is a pretty expensive city. So, each of us will get $200 a day. M: Oh, OK. Thanks for telling me that. W: You're welcome.",How will the speakers go to New York?,By air.,By taxi.,By bus.,By air.
11-245,"F: I've never been to West Lake. What about you? M: I haven't, either.",Who has been there?,The woman.,The man.,Neither.,Neither.
12-203,W: Would you please fill in this form? M: All right.,What will the man do?,Come out.,Fill out the form.,See the film.,Fill out the form.
21-12,"M: I'd like to open a saving account, please. W: All right,please fill out the forms and sign your name on the line.",Where does the conversation most likely take place?,At a hotel.,At an airport.,At a bank.,At a bank.
5-513,"W: How come the floor is so wet? I almost slipped, what happened? M: Oh, sorry! The phone rang the moment I got into the shower, anyway, I'll wipe it up right now.",Why was the floor wet according to the man?,He spilled his drink onto the floor.,He rushed out of the bath to answer the phone.,He was caught in a shower on his way home.,He rushed out of the bath to answer the phone.
7-246,"M: Look at this picture. It might have been taken many years ago. W: You're right. It was taken 71 years ago, during the Second World War. I was just 6 years old then. M: Is this little girl you? W: Yes. And the little boy is my younger brother. The couple standing behind us is our parents. It is the only picture of my family. M: Hadn't you taken any pictures together before you took this one? W: Of course we did. But all the pictures were destroyed when a bomb destroyed our house. This picture survived because I always took it with me. M: Didn't you taken any picture after the bomb? W: Well, it was a sad story. My father was killed in that bombing. M: I'm sorry to hear that. War left many people sad memories. W: Yes. And I'm so glad we can lead such a peaceful life nowadays.",What are they talking about?,The Second World War.,The woman's painting.,A family photo.,A family photo.
8-36,"M: Mom, it's a nice day, isn't it? W: Yes. But the radio says it will rain tomorrow.",What are the two speakers talking about?,The weather.,The food.,The time.,The weather.
